TimeDeltaIndex,Time_s,COP,P_elec_kW,P_cond_kW,T_cond_in_degC,T_cond_out_degC,T_eva_in_degC,T_eva_out_degC,T_ext_degC,P_demand_kW,T_supply_degC,T_return_degC,anomaly
0,0.27,3.69,6000,22149.49,71.72,80.37,3.76,1.85,5.43,2309.02,79.79,50,0
600,705.66,1.86,1585.41,2951.89,50,83.13,12.92,6.9,5.42,2305.09,79.79,50,0
1200,1200,1.86,1583.93,2947.28,50,83.12,12.92,6.9,5.42,2295.12,79.79,50,0
1800,1800,1.86,1582.14,2941.68,50,83.1,12.92,6.91,5.42,2293.46,79.79,50,0
2400,2400,1.86,1580.35,2936.07,50,83.08,12.92,6.92,5.41,2285.68,79.79,50,0
3000,3000.01,1.86,1578.55,2930.47,50,83.07,12.92,6.92,5.41,2277.9,79.8,50,0
3600,3600.01,1.85,1571.16,2905.68,50,83.05,12.92,6.93,5.4,2270.12,79.8,50,0
4200,4200.01,1.86,1577.34,2928,50,83.02,12.92,6.92,5.4,2262.34,79.8,50,0
4800,4800.01,1.86,1577.95,2931.18,50,82.98,12.92,6.92,5.38,2263.88,79.81,50,0
5400,5400.01,1.86,1578.55,2934.37,50,82.95,12.92,6.91,5.37,2265.41,79.82,50,0
6000,6000.01,1.86,1579.15,2937.55,50,82.92,12.92,6.9,5.35,2266.94,79.82,50,0
6600,6600.01,1.86,1579.75,2940.74,50,82.88,12.92,6.9,5.33,2268.48,79.83,50,0
7200,7200.01,1.85,1571.16,2912.31,50,82.85,12.92,6.89,5.32,2270.01,79.84,50,0
7800,7800.02,1.87,1582.27,2951.96,50,82.81,12.92,6.88,5.3,2271.54,79.85,50,0
8400,8400.02,1.87,1584.2,2960.03,50,82.77,12.92,6.86,5.27,2278.29,79.87,50,0
9000,9000.02,1.87,1586.12,2968.09,50,82.73,12.92,6.85,5.23,2285.04,79.88,50,0
9600,9600.02,1.87,1588.04,2976.16,50,82.68,12.92,6.84,5.2,2291.79,79.9,50,0
10200,10200.02,1.88,1589.95,2984.22,50,82.64,12.92,6.82,5.17,2298.54,79.92,50,0
10800,10800.02,1.88,1589.56,2984.28,50,82.6,12.92,6.81,5.13,2305.29,79.93,50,0
11400,11400.02,1.89,1601.42,3026.13,50,82.58,12.92,6.76,5.1,2312.04,79.95,50,0
12000,12000.02,1.9,1610.91,3059.89,50,82.57,12.92,6.72,5.08,2339.46,79.96,50,0
12600,12600.03,1.91,1620.35,3093.64,50,82.55,12.92,6.67,5.07,2366.88,79.97,50,0
13200,13200.03,1.92,1629.75,3127.4,50,82.53,12.92,6.62,5.05,2394.3,79.97,50,0
13800,13800.03,1.93,1639.1,3161.15,50,82.52,12.92,6.58,5.03,2421.72,79.98,50,0
14400,14400.03,1.94,1648.11,3193.82,50,82.5,12.92,6.53,5.02,2449.14,79.99,50,0
15000,15000.03,1.95,1660.99,3240.85,50,82.48,12.92,6.47,5,2476.56,80,50,0
15600,15600.03,1.96,1673.5,3286.81,50,82.45,12.92,6.41,5,2512.77,80,50,0
16200,16200.03,1.98,1685.94,3332.78,50,82.43,12.92,6.36,5,2548.98,80,50,0
16800,16800.03,1.99,1698.3,3378.75,50,82.4,12.92,6.3,5,2585.19,80,50,0
17400,17400.04,2,1710.58,3424.72,50,82.38,12.92,6.24,5,2621.4,80,50,0
18000,18000.69,2.01,1722.83,3470.8,50,82.35,12.92,10.66,5,2657.61,80,50,0
18600,18600.04,2.03,1737.37,3525.31,50,82.33,12.92,12.33,5,2693.86,80,50,0
19200,19200.04,2.04,1751.84,3579.91,50,82.32,12.92,12.04,4.98,2734.81,80.01,50,0
19800,19800.04,2.06,1766.22,3634.5,50,82.3,12.92,11.59,4.97,2775.79,80.02,50,0
20400,20400.04,2.07,1780.5,3689.1,50,82.28,12.92,11.15,4.95,2816.78,80.03,50,0
21000,21000.04,2.09,1794.7,3743.7,50,82.27,12.92,10.95,4.93,2857.76,80.03,50,0
21600,21600.04,2.1,1808.8,3798.23,50,82.25,12.92,10.9,4.92,2898.74,80.04,50,0
22200,22200.04,2.12,1830.83,3884.02,50,82.23,12.92,10.88,4.9,2939.73,80.05,50,0
22800,22800.04,2.14,1852.66,3969.78,50,82.2,12.92,10.88,4.9,3003.6,80.05,50,0
23400,23400.05,2.16,1874.29,4055.53,50,82.18,12.92,10.88,4.9,3067.48,80.05,50,0
24000,24000.05,2.18,1895.73,4141.29,50,82.15,12.92,10.88,4.9,3131.36,80.05,50,0
24600,24600.05,2.21,1917,4227.05,50,82.13,12.92,10.88,4.9,3195.23,80.05,50,0
25200,25200.05,2.22,1936.99,4308.32,50,82.1,12.92,10.88,4.9,3259.11,80.05,50,0
25800,25800.05,2.23,1947.86,4352.98,49.7,82.08,12.92,10.89,4.9,3322.98,80.05,50,0
